alpha,lambda_threshold,exact_fnr,partial_fnr
0.12323232323232322,0.9999142289161682,0.12772049673498848,0.13724769370779955
0.12515151515151515,0.9999139904975891,0.12858750035026742,0.13000726644868882
0.12707070707070708,0.9999153017997742,0.13321534306235475,0.13755551583978573
0.128989898989899,0.9999162554740906,0.13897260970168426,0.1326101913710473
0.13090909090909092,0.999916672706604,0.14027830967567367,0.14655884685539622
0.13282828282828282,0.9999163746833801,0.13935284419402325,0.1396665738120318
0.13474747474747475,0.9999166131019592,0.14165803136532928,0.14399832319858238
0.1366666666666667,0.9999164342880249,0.14007222287945528,0.1452649610473313
0.1385858585858586,0.9999162554740906,0.13881391585360833,0.14272194536043906
0.14050505050505052,0.9999172687530518,0.1457899703278624,0.15500782987096515
0.14242424242424243,0.9999178051948547,0.14709439538708036,0.1454944391542614
0.14434343434343436,0.9999186992645264,0.15349892344780444,0.1496941386094523
0.14626262626262626,0.9999181628227234,0.14958787000661025,0.1488249387998235
0.1481818181818182,0.9999179840087891,0.14909426578057208,0.15116592945903423
0.1501010101010101,0.9999187588691711,0.15438765900526558,0.16048143232941453
0.15202020202020203,0.9999192953109741,0.15599239782320493,0.1548773019962889
0.15393939393939396,0.9999199509620667,0.1607922698901724,0.15470527199828463
0.15585858585858586,0.999920129776001,0.16365112698015027,0.16988158960254476
0.1577777777777778,0.9999203681945801,0.16507977498392531,0.15979651406467546
0.1596969696969697,0.9999203681945801,0.1642261365692399,0.1609409752027494
0.16161616161616163,0.9999195337295532,0.15898795281407174,0.16490601087250625
0.16353535353535353,0.9999207258224487,0.1679293022653091,0.1744745897897995
0.16545454545454547,0.9999212622642517,0.17003342887960507,0.1702631622464115
0.16737373737373737,0.9999221563339233,0.17926600527416983,0.1715549554867774
0.1692929292929293,0.9999226927757263,0.1833993835575427,0.18596652883507145
0.17121212121212123,0.9999222755432129,0.17709414329920076,0.18463176970096526
0.17313131313131314,0.9999212026596069,0.1691580509508457,0.1751940440824802
0.17505050505050507,0.9999223351478577,0.18039376724722073,0.19173932820973463
0.17696969696969697,0.9999222755432129,0.17845190081542905,0.17753387860165543
0.1788888888888889,0.9999228119850159,0.1820850159546109,0.17888056971645167
0.1808080808080808,0.9999229907989502,0.18553622306492287,0.1822489957895432
0.18272727272727274,0.9999245405197144,0.19766405476128363,0.18850154837806762
0.18464646464646464,0.999922513961792,0.17923349852733217,0.19414421812390847
0.18656565656565657,0.9999225735664368,0.17982423226099897,0.19940324690999117
0.1884848484848485,0.9999234676361084,0.18780460086991405,0.18937195231911136
0.19040404040404042,0.9999239440779113,0.19213081646017176,0.19265470860535522
0.19232323232323234,0.9999239440779113,0.19131751635768254,0.19326525365446234
0.19424242424242425,0.999924838147583,0.19932413417166474,0.1976141145610759
0.19616161616161617,0.9999245401243591,0.19754661253855682,0.1983433566230319
0.1980808080808081,0.9999242421011352,0.19567278430270752,0.1942234645274557
0.2,0.9999249573568726,0.1998921251367132,0.19936017301571646
